Average,L1
449.000000,   449
448.000000,   448
443.000000,   443
450.000000,   450
459.000000,   459
451.000000,   451
448.000000,   448
447.000000,   447
454.000000,   454
450.000000,   450
462.000000,   462
459.000000,   459
449.000000,   449
444.000000,   444
448.000000,   448
448.000000,   448
452.000000,   452
446.000000,   446
445.000000,   445
452.000000,   452
449.000000,   449
463.000000,   463
441.000000,   441
449.000000,   449
453.000000,   453
439.000000,   439
454.000000,   454
447.000000,   447
460.000000,   460
448.000000,   448
456.000000,   456
442.000000,   442
445.000000,   445
452.000000,   452
458.000000,   458
442.000000,   442
435.000000,   435
452.000000,   452
439.000000,   439
448.000000,   448
457.000000,   457
456.000000,   456
455.000000,   455
451.000000,   451
451.000000,   451
453.000000,   453
452.000000,   452
456.000000,   456
454.000000,   454
444.000000,   444
453.000000,   453
451.000000,   451
462.000000,   462
462.000000,   462
466.000000,   466
462.000000,   462
454.000000,   454
450.000000,   450
468.000000,   468
453.000000,   453
458.000000,   458
454.000000,   454
456.000000,   456
458.000000,   458
465.000000,   465
457.000000,   457
473.000000,   473
465.000000,   465
470.000000,   470
467.000000,   467
463.000000,   463
470.000000,   470
469.000000,   469
463.000000,   463
473.000000,   473
460.000000,   460
471.000000,   471
452.000000,   452
467.000000,   467
464.000000,   464
464.000000,   464
456.000000,   456
471.000000,   471
455.000000,   455
472.000000,   472
466.000000,   466
457.000000,   457
464.000000,   464
469.000000,   469
457.000000,   457
456.000000,   456
468.000000,   468
477.000000,   477
463.000000,   463
459.000000,   459
465.000000,   465
458.000000,   458
464.000000,   464
470.000000,   470
466.000000,   466
463.000000,   463
466.000000,   466
463.000000,   463
464.000000,   464
468.000000,   468
465.000000,   465
474.000000,   474
466.000000,   466
465.000000,   465
462.000000,   462
454.000000,   454
472.000000,   472
481.000000,   481
466.000000,   466
469.000000,   469
458.000000,   458
471.000000,   471
448.000000,   448
464.000000,   464
467.000000,   467
471.000000,   471
463.000000,   463
475.000000,   475
469.000000,   469
466.000000,   466
463.000000,   463
472.000000,   472
465.000000,   465
471.000000,   471
463.000000,   463
466.000000,   466
466.000000,   466
456.000000,   456
460.000000,   460
473.000000,   473
469.000000,   469
461.000000,   461
471.000000,   471
465.000000,   465
479.000000,   479
462.000000,   462
466.000000,   466
468.000000,   468
461.000000,   461
465.000000,   465
457.000000,   457
465.000000,   465
470.000000,   470
467.000000,   467
478.000000,   478
460.000000,   460
461.000000,   461
466.000000,   466
474.000000,   474
465.000000,   465
477.000000,   477
465.000000,   465
468.000000,   468
470.000000,   470
469.000000,   469
466.000000,   466
474.000000,   474
482.000000,   482
467.000000,   467
469.000000,   469
474.000000,   474
482.000000,   482
468.000000,   468
465.000000,   465
469.000000,   469
465.000000,   465
475.000000,   475
474.000000,   474
470.000000,   470
469.000000,   469
473.000000,   473
470.000000,   470
461.000000,   461
465.000000,   465
466.000000,   466
