Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
291,61204.043,721.000000,   721
292,61820.502,732.000000,   732
293,62441.091,723.000000,   723
294,63065.823,719.000000,   719
295,63694.713,740.000000,   740
296,64327.773,717.000000,   717
297,64965.018,728.000000,   728
298,65606.462,728.000000,   728
299,66252.118,721.000000,   721
300,66902.000,712.000000,   712
301,67556.122,730.000000,   730
302,68214.498,717.000000,   717
303,68877.142,720.000000,   720
304,69544.067,732.000000,   732
305,70215.288,731.000000,   731
306,70890.817,742.000000,   742
307,71570.669,716.000000,   716
308,72254.858,728.000000,   728
309,72943.397,745.000000,   745
310,73636.300,742.000000,   742
311,74333.581,742.000000,   742
312,75035.254,722.000000,   722
313,75741.333,724.000000,   724
314,76451.831,719.000000,   719
315,77166.762,733.000000,   733
316,77886.141,725.000000,   725
317,78609.980,721.000000,   721
318,79338.294,722.000000,   722
319,80071.096,733.000000,   733
320,80808.400,741.000000,   741
321,81550.220,733.000000,   733
322,82296.570,734.000000,   734
323,83047.464,743.000000,   743
324,83802.915,732.000000,   732
325,84562.937,735.000000,   735
326,85327.545,724.000000,   724
327,86096.751,736.000000,   736
328,86870.570,719.000000,   719
329,87649.015,730.000000,   730
330,88432.100,730.000000,   730
331,89219.839,737.000000,   737
332,90012.246,732.000000,   732
333,90809.335,739.000000,   739
334,91611.119,733.000000,   733
335,92417.613,733.000000,   733
336,93228.829,720.000000,   720
337,94044.782,725.000000,   725
338,94865.486,706.000000,   706
339,95690.954,721.000000,   721
340,96521.200,740.000000,   740
341,97356.238,731.000000,   731
342,98196.082,728.000000,   728
343,99040.746,717.000000,   717
344,99890.243,729.000000,   729
345,100744.587,735.000000,   735
346,101603.793,743.000000,   743
347,102467.873,736.000000,   736
348,103336.842,747.000000,   747
349,104210.713,749.000000,   749
350,105089.500,737.000000,   737
351,105973.217,742.000000,   742
352,106861.878,735.000000,   735
353,107755.497,737.000000,   737
354,108654.087,744.000000,   744
355,109557.663,741.000000,   741
356,110466.237,744.000000,   744
357,111379.824,750.000000,   750
358,112298.438,728.000000,   728
359,113222.092,733.000000,   733
360,114150.800,736.000000,   736
361,115084.576,729.000000,   729
362,116023.434,744.000000,   744
363,116967.388,723.000000,   723
364,117916.451,731.000000,   731
365,118870.638,731.000000,   731
366,119829.961,722.000000,   722
367,120794.435,737.000000,   737
368,121764.074,742.000000,   742
369,122738.891,726.000000,   726
370,123718.900,740.000000,   740
371,124704.115,734.000000,   734
372,125694.550,738.000000,   738
373,126690.219,745.000000,   745
374,127691.135,745.000000,   745
375,128697.313,744.000000,   744
376,129708.765,747.000000,   747
377,130725.506,734.000000,   734
378,131747.550,732.000000,   732
379,132774.910,735.000000,   735
380,133807.600,736.000000,   736
381,134845.634,734.000000,   734
382,135889.026,735.000000,   735
383,136937.790,724.000000,   724
384,137991.939,734.000000,   734
385,139051.487,744.000000,   744
386,140116.449,739.000000,   739
387,141186.837,734.000000,   734
388,142262.666,729.000000,   729
389,143343.949,725.000000,   725
390,144430.700,722.000000,   722
391,145522.933,732.000000,   732
392,146620.662,738.000000,   738
393,147723.901,729.000000,   729
394,148832.663,726.000000,   726
395,149946.962,730.000000,   730
396,151066.813,730.000000,   730
397,152192.228,741.000000,   741
398,153323.222,750.000000,   750
399,154459.808,738.000000,   738
400,155602.000,747.000000,   747
401,156749.812,731.000000,   731
402,157903.258,736.000000,   736
403,159062.352,722.000000,   722
404,160227.107,727.000000,   727
405,161397.538,737.000000,   737
406,162573.657,717.000000,   717
407,163755.479,734.000000,   734
408,164943.018,731.000000,   731
409,166136.287,739.000000,   739
410,167335.300,721.000000,   721
411,168540.071,735.000000,   735
412,169750.614,738.000000,   738
413,170966.943,742.000000,   742
414,172189.071,742.000000,   742
415,173417.013,735.000000,   735
416,174650.781,741.000000,   741
417,175890.390,736.000000,   736
418,177135.854,726.000000,   726
419,178387.186,732.000000,   732
420,179644.400,737.000000,   737
421,180907.510,744.000000,   744
422,182176.530,732.000000,   732
423,183451.474,730.000000,   730
424,184732.355,744.000000,   744
425,186019.188,742.000000,   742
426,187311.985,734.000000,   734
427,188610.761,737.000000,   737
428,189915.530,737.000000,   737
429,191226.305,727.000000,   727
430,192543.100,729.000000,   729
431,193865.929,741.000000,   741
432,195194.806,738.000000,   738
433,196529.745,735.000000,   735
434,197870.759,737.000000,   737
435,199217.862,744.000000,   744
436,200571.069,743.000000,   743
437,201930.392,729.000000,   729
438,203295.846,733.000000,   733
439,204667.444,728.000000,   728
440,206045.200,739.000000,   739
441,207429.128,733.000000,   733
442,208819.242,738.000000,   738
443,210215.556,736.000000,   736
444,211618.083,747.000000,   747
445,213026.838,736.000000,   736
446,214441.833,735.000000,   735
447,215863.083,741.000000,   741
448,217290.602,726.000000,   726
449,218724.403,751.000000,   751
450,220164.500,748.000000,   748
451,221610.907,755.000000,   755
452,223063.638,743.000000,   743
453,224522.707,743.000000,   743
454,225988.127,741.000000,   741
455,227459.912,758.000000,   758
456,228938.077,746.000000,   746
457,230422.634,737.000000,   737
458,231913.598,740.000000,   740
459,233410.982,732.000000,   732
460,234914.800,743.000000,   743
461,236425.066,740.000000,   740
462,237941.794,737.000000,   737
463,239464.998,745.000000,   745
464,240994.691,728.000000,   728
465,242530.887,739.000000,   739
466,244073.601,749.000000,   749
467,245622.845,755.000000,   755
468,247178.634,731.000000,   731
469,248740.981,731.000000,   731
470,250309.900,735.000000,   735
471,251885.405,752.000000,   752
472,253467.510,747.000000,   747
473,255056.229,729.000000,   729
474,256651.575,737.000000,   737
475,258253.563,733.000000,   733
476,259862.205,748.000000,   748
477,261477.516,726.000000,   726
478,263099.510,727.000000,   727
479,264728.200,747.000000,   747
480,266363.600,739.000000,   739
481,268005.724,752.000000,   752
482,269654.586,750.000000,   750
483,271310.200,731.000000,   731
484,272972.579,730.000000,   730
485,274641.737,740.000000,   740
486,276317.689,735.000000,   735
487,278000.447,743.000000,   743
488,279690.026,729.000000,   729
489,281386.439,754.000000,   754
490,283089.700,737.000000,   737
491,284799.823,730.000000,   730
492,286516.822,749.000000,   749
493,288240.711,740.000000,   740
494,289971.503,751.000000,   751
495,291709.213,737.000000,   737
496,293453.853,744.000000,   744
497,295205.438,743.000000,   743
498,296963.982,744.000000,   744
499,298729.498,738.000000,   738
500,300502.000,736.000000,   736
501,302281.502,735.000000,   735
502,304068.018,749.000000,   749
503,305861.562,733.000000,   733
504,307662.147,743.000000,   743
505,309469.787,748.000000,   748
506,311284.497,743.000000,   743
507,313106.289,752.000000,   752
508,314935.178,748.000000,   748
509,316771.177,760.000000,   760
510,318614.300,752.000000,   752
511,320464.561,746.000000,   746
512,322321.974,752.000000,   752
513,324186.553,744.000000,   744
514,326058.311,740.000000,   740
515,327937.262,747.000000,   747
516,329823.421,741.000000,   741
517,331716.800,755.000000,   755
518,333617.414,740.000000,   740
519,335525.276,746.000000,   746
520,337440.400,743.000000,   743
521,339362.800,739.000000,   739
522,341292.490,753.000000,   753
523,343229.484,748.000000,   748
524,345173.795,736.000000,   736
525,347125.438,744.000000,   744
526,349084.425,736.000000,   736
527,351050.771,749.000000,   749
528,353024.490,750.000000,   750
529,355005.595,763.000000,   763
530,356994.100,751.000000,   751
531,358990.019,743.000000,   743
532,360993.366,749.000000,   749
533,363004.155,731.000000,   731
534,365022.399,754.000000,   754
535,367048.112,750.000000,   750
536,369081.309,743.000000,   743
537,371122.002,761.000000,   761
538,373170.206,746.000000,   746
539,375225.934,735.000000,   735
540,377289.200,753.000000,   753
541,379360.018,738.000000,   738
542,381438.402,739.000000,   739
543,383524.366,741.000000,   741
544,385617.923,755.000000,   755
545,387719.088,751.000000,   751
546,389827.873,752.000000,   752
547,391944.293,752.000000,   752
548,394068.362,748.000000,   748
549,396200.093,756.000000,   756
550,398339.500,748.000000,   748
551,400486.597,739.000000,   739
552,402641.398,752.000000,   752
553,404803.917,751.000000,   751
554,406974.167,753.000000,   753
555,409152.162,748.000000,   748
556,411337.917,739.000000,   739
557,413531.444,750.000000,   750
558,415732.758,746.000000,   746
559,417941.872,757.000000,   757
560,420158.800,744.000000,   744
561,422383.556,742.000000,   742
562,424616.154,753.000000,   753
563,426856.608,753.000000,   753
564,429104.931,739.000000,   739
565,431361.138,741.000000,   741
566,433625.241,749.000000,   749
567,435897.255,757.000000,   757
568,438177.194,739.000000,   739
569,440465.071,752.000000,   752
570,442760.900,745.000000,   745
571,445064.695,752.000000,   752
572,447376.470,742.000000,   742
573,449696.239,747.000000,   747
574,452024.015,747.000000,   747
575,454359.813,743.000000,   743
576,456703.645,757.000000,   757
577,459055.526,769.000000,   769
578,461415.470,755.000000,   755
579,463783.490,747.000000,   747
580,466159.600,744.000000,   744
581,468543.814,748.000000,   748
582,470936.146,751.000000,   751
583,473336.610,754.000000,   754
584,475745.219,753.000000,   753
585,478161.987,758.000000,   758
586,480586.929,757.000000,   757
587,483020.057,752.000000,   752
588,485461.386,739.000000,   739
589,487910.929,727.000000,   727
590,490368.700,758.000000,   758
591,492834.713,744.000000,   744
592,495308.982,757.000000,   757
593,497791.521,741.000000,   741
594,500282.343,745.000000,   745
595,502781.463,747.000000,   747
596,505288.893,738.000000,   738
597,507804.648,743.000000,   743
598,510328.742,744.000000,   744
599,512861.188,744.000000,   744
600,515402.000,743.000000,   743
601,517951.192,755.000000,   755
602,520508.778,743.000000,   743
603,523074.772,745.000000,   745
604,525649.187,756.000000,   756
605,528232.037,747.000000,   747
606,530823.337,736.000000,   736
607,533423.099,742.000000,   742
608,536031.338,750.000000,   750
609,538648.067,760.000000,   760
610,541273.300,764.000000,   764
611,543907.051,746.000000,   746
612,546549.334,738.000000,   738
613,549200.163,744.000000,   744
614,551859.551,740.000000,   740
615,554527.512,743.000000,   743
616,557204.061,729.000000,   729
617,559889.210,756.000000,   756
618,562582.974,736.000000,   736
619,565285.366,751.000000,   751
620,567996.400,742.000000,   742
621,570716.090,740.000000,   740
622,573444.450,739.000000,   739
623,576181.494,741.000000,   741
624,578927.235,738.000000,   738
625,581681.688,742.000000,   742
626,584444.865,755.000000,   755
627,587216.781,749.000000,   749
628,589997.450,758.000000,   758
629,592786.885,762.000000,   762
630,595585.100,755.000000,   755
631,598392.109,748.000000,   748
632,601207.926,740.000000,   740
633,604032.565,773.000000,   773
634,606866.039,739.000000,   739
635,609708.362,741.000000,   741
636,612559.549,755.000000,   755
637,615419.612,763.000000,   763
638,618288.566,736.000000,   736
639,621166.424,756.000000,   756
640,624053.200,745.000000,   745
641,626948.908,742.000000,   742
642,629853.562,749.000000,   749
643,632767.176,758.000000,   758
644,635689.763,753.000000,   753
645,638621.338,750.000000,   750
646,641561.913,747.000000,   747
647,644511.503,750.000000,   750
648,647470.122,749.000000,   749
649,650437.783,754.000000,   754
650,653414.500,751.000000,   751
651,656400.287,747.000000,   747
652,659395.158,755.000000,   755
653,662399.127,751.000000,   751
654,665412.207,759.000000,   759
655,668434.412,752.000000,   752
656,671465.757,750.000000,   750
657,674506.254,749.000000,   749
658,677555.918,741.000000,   741
659,680614.762,734.000000,   734
660,683682.800,738.000000,   738
661,686760.046,748.000000,   748
662,689846.514,748.000000,   748
663,692942.218,740.000000,   740
664,696047.171,738.000000,   738
665,699161.388,745.000000,   745
666,702284.881,752.000000,   752
667,705417.665,763.000000,   763
668,708559.754,750.000000,   750
669,711711.161,747.000000,   747
670,714871.900,739.000000,   739
671,718041.985,759.000000,   759
672,721221.430,726.000000,   726
673,724410.249,752.000000,   752
674,727608.455,747.000000,   747
675,730816.063,758.000000,   758
676,734033.085,749.000000,   749
677,737259.536,742.000000,   742
678,740495.430,740.000000,   740
679,743740.780,742.000000,   742
680,746995.600,743.000000,   743
681,750259.904,755.000000,   755
682,753533.706,752.000000,   752
683,756817.020,748.000000,   748
684,760109.859,748.000000,   748
685,763412.237,752.000000,   752
686,766724.169,750.000000,   750
687,770045.667,739.000000,   739
688,773376.746,743.000000,   743
689,776717.419,748.000000,   748
690,780067.700,753.000000,   753
691,783427.603,744.000000,   744
692,786797.142,750.000000,   750
693,790176.331,756.000000,   756
694,793565.183,738.000000,   738
695,796963.713,732.000000,   732
696,800371.933,757.000000,   757
697,803789.858,752.000000,   752
698,807217.502,742.000000,   742
699,810654.878,740.000000,   740
700,814102.000,740.000000,   740
701,817558.882,742.000000,   742
702,821025.538,733.000000,   733
703,824501.982,727.000000,   727
704,827988.227,743.000000,   743
705,831484.287,753.000000,   753
706,834990.177,752.000000,   752
707,838505.909,747.000000,   747
708,842031.498,745.000000,   745
709,845566.957,749.000000,   749
710,849112.300,756.000000,   756
711,852667.541,743.000000,   743
712,856232.694,761.000000,   761
713,859807.773,749.000000,   749
714,863392.791,747.000000,   747
715,866987.763,745.000000,   745
716,870592.701,752.000000,   752
717,874207.620,749.000000,   749
718,877832.534,745.000000,   745
719,881467.456,734.000000,   734
720,885112.400,742.000000,   742
721,888767.380,754.000000,   754
722,892432.410,747.000000,   747
723,896107.504,744.000000,   744
724,899792.675,743.000000,   743
725,903487.938,744.000000,   744
726,907193.305,739.000000,   739
727,910908.791,739.000000,   739
728,914634.410,741.000000,   741
729,918370.175,735.000000,   735
730,922116.100,738.000000,   738
731,925872.199,745.000000,   745
732,929638.486,734.000000,   734
733,933414.975,747.000000,   747
734,937201.679,748.000000,   748
735,940998.612,745.000000,   745
