Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
358,4057.475,171.000000,   171
359,4045.061,172.000000,   172
360,4032.674,184.000000,   184
361,4020.313,168.000000,   168
362,4007.978,177.000000,   177
363,3995.669,171.000000,   171
364,3983.387,175.000000,   175
365,3971.130,177.000000,   177
366,3958.900,166.000000,   166
367,3946.696,171.000000,   171
368,3934.518,170.000000,   170
369,3922.366,177.000000,   177
370,3910.240,179.000000,   179
371,3898.140,170.000000,   170
372,3886.066,175.000000,   175
373,3874.017,173.000000,   173
374,3861.995,174.000000,   174
375,3849.999,178.000000,   178
376,3838.029,180.000000,   180
377,3826.084,171.000000,   171
378,3814.165,176.000000,   176
379,3802.272,172.000000,   172
380,3790.405,173.000000,   173
381,3778.563,176.000000,   176
382,3766.748,171.000000,   171
383,3754.958,176.000000,   176
384,3743.193,167.000000,   167
385,3731.454,179.000000,   179
386,3719.741,175.000000,   175
387,3708.053,170.000000,   170
388,3696.391,174.000000,   174
389,3684.755,174.000000,   174
390,3673.144,179.000000,   179
391,3661.558,174.000000,   174
392,3649.998,165.000000,   165
393,3638.463,172.000000,   172
394,3626.954,175.000000,   175
395,3615.470,168.000000,   168
396,3604.011,176.000000,   176
397,3592.578,175.000000,   175
398,3581.170,160.000000,   160
399,3569.787,179.000000,   179
400,3558.430,177.000000,   177
401,3547.097,184.000000,   184
402,3535.790,177.000000,   177
403,3524.508,175.000000,   175
404,3513.251,177.000000,   177
405,3502.020,179.000000,   179
406,3490.813,173.000000,   173
407,3479.632,174.000000,   174
408,3468.475,177.000000,   177
409,3457.343,177.000000,   177
410,3446.237,171.000000,   171
411,3435.155,176.000000,   176
412,3424.099,174.000000,   174
413,3413.067,179.000000,   179
414,3402.060,175.000000,   175
415,3391.078,177.000000,   177
416,3380.120,173.000000,   173
417,3369.188,176.000000,   176
418,3358.280,178.000000,   178
419,3347.397,178.000000,   178
420,3336.539,172.000000,   172
421,3325.705,175.000000,   175
422,3314.897,165.000000,   165
423,3304.112,167.000000,   167
424,3293.353,175.000000,   175
425,3282.618,182.000000,   182
426,3271.907,172.000000,   172
427,3261.221,185.000000,   185
428,3250.560,182.000000,   182
429,3239.923,171.000000,   171
430,3229.310,167.000000,   167
431,3218.722,165.000000,   165
432,3208.158,169.000000,   169
433,3197.619,172.000000,   172
434,3187.104,176.000000,   176
435,3176.613,180.000000,   180
436,3166.147,180.000000,   180
437,3155.705,172.000000,   172
438,3145.287,172.000000,   172
439,3134.893,166.000000,   166
440,3124.524,175.000000,   175
441,3114.178,171.000000,   171
442,3103.857,180.000000,   180
443,3093.560,166.000000,   166
444,3083.287,170.000000,   170
445,3073.038,173.000000,   173
446,3062.813,170.000000,   170
447,3052.613,168.000000,   168
448,3042.436,168.000000,   168
449,3032.283,164.000000,   164
450,3022.154,169.000000,   169
451,3012.049,173.000000,   173
452,3001.968,178.000000,   178
453,2991.910,164.000000,   164
454,2981.877,177.000000,   177
455,2971.867,175.000000,   175
456,2961.881,175.000000,   175
457,2951.919,167.000000,   167
458,2941.980,174.000000,   174
459,2932.065,169.000000,   169
460,2922.174,174.000000,   174
461,2912.307,183.000000,   183
462,2902.463,184.000000,   184
463,2892.643,179.000000,   179
464,2882.846,178.000000,   178
465,2873.073,178.000000,   178
466,2863.323,171.000000,   171
467,2853.597,173.000000,   173
468,2843.894,170.000000,   170
469,2834.215,167.000000,   167
470,2824.559,175.000000,   175
471,2814.927,168.000000,   168
472,2805.317,170.000000,   170
473,2795.732,167.000000,   167
474,2786.169,167.000000,   167
475,2776.630,166.000000,   166
476,2767.114,185.000000,   185
477,2757.621,176.000000,   176
478,2748.151,174.000000,   174
479,2738.705,181.000000,   181
480,2729.282,177.000000,   177
481,2719.882,176.000000,   176
482,2710.505,171.000000,   171
483,2701.151,181.000000,   181
484,2691.820,178.000000,   178
485,2682.512,174.000000,   174
486,2673.227,170.000000,   170
487,2663.965,174.000000,   174
488,2654.726,167.000000,   167
489,2645.510,182.000000,   182
490,2636.316,175.000000,   175
491,2627.146,176.000000,   176
492,2617.998,174.000000,   174
493,2608.874,173.000000,   173
494,2599.772,166.000000,   166
495,2590.692,167.000000,   167
496,2581.636,178.000000,   178
497,2572.602,173.000000,   173
498,2563.591,182.000000,   182
499,2554.602,166.000000,   166
500,2545.637,179.000000,   179
501,2536.693,174.000000,   174
502,2527.773,166.000000,   166
503,2518.874,175.000000,   175
