Pixel No,Average,L1
474,2422.000000,  2422
475,2394.000000,  2394
476,2421.000000,  2421
477,2419.000000,  2419
478,2422.000000,  2422
479,2430.000000,  2430
480,2462.000000,  2462
481,2453.000000,  2453
482,2471.000000,  2471
483,2477.000000,  2477
484,2474.000000,  2474
485,2508.000000,  2508
486,2523.000000,  2523
487,2526.000000,  2526
488,2549.000000,  2549
489,2583.000000,  2583
490,2589.000000,  2589
491,2564.000000,  2564
492,2576.000000,  2576
493,2595.000000,  2595
494,2598.000000,  2598
495,2601.000000,  2601
496,2636.000000,  2636
497,2646.000000,  2646
498,2652.000000,  2652
499,2657.000000,  2657
500,2659.000000,  2659
501,2674.000000,  2674
502,2696.000000,  2696
503,2705.000000,  2705
504,2738.000000,  2738
505,2734.000000,  2734
506,2744.000000,  2744
507,2779.000000,  2779
508,2775.000000,  2775
509,2788.000000,  2788
510,2785.000000,  2785
511,2816.000000,  2816
512,2809.000000,  2809
513,2839.000000,  2839
514,2835.000000,  2835
515,2863.000000,  2863
516,2902.000000,  2902
517,2926.000000,  2926
518,2940.000000,  2940
519,2968.000000,  2968
520,2984.000000,  2984
521,2996.000000,  2996
522,3067.000000,  3067
523,3051.000000,  3051
524,3104.000000,  3104
525,3142.000000,  3142
526,3146.000000,  3146
527,3210.000000,  3210
528,3225.000000,  3225
529,3257.000000,  3257
530,3321.000000,  3321
531,3396.000000,  3396
532,3448.000000,  3448
533,3528.000000,  3528
534,3595.000000,  3595
535,3637.000000,  3637
536,3729.000000,  3729
537,3804.000000,  3804
538,3907.000000,  3907
539,4007.000000,  4007
540,4140.000000,  4140
541,4279.000000,  4279
542,4424.000000,  4424
543,4551.000000,  4551
544,4720.000000,  4720
545,4838.000000,  4838
546,5006.000000,  5006
547,5156.000000,  5156
548,5290.000000,  5290
549,5467.000000,  5467
550,5610.000000,  5610
551,5738.000000,  5738
552,5852.000000,  5852
553,5983.000000,  5983
554,6113.000000,  6113
555,6232.000000,  6232
556,6388.000000,  6388
557,6480.000000,  6480
558,6564.000000,  6564
