Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
305,70215.288,721.000000,   721
306,70890.817,715.000000,   715
307,71570.669,699.000000,   699
308,72254.858,708.000000,   708
309,72943.397,709.000000,   709
310,73636.300,704.000000,   704
311,74333.581,703.000000,   703
312,75035.254,697.000000,   697
313,75741.333,699.000000,   699
314,76451.831,698.000000,   698
315,77166.762,716.000000,   716
316,77886.141,708.000000,   708
317,78609.980,707.000000,   707
318,79338.294,694.000000,   694
319,80071.096,700.000000,   700
320,80808.400,707.000000,   707
321,81550.220,709.000000,   709
322,82296.570,701.000000,   701
323,83047.464,696.000000,   696
324,83802.915,717.000000,   717
325,84562.937,723.000000,   723
326,85327.545,702.000000,   702
327,86096.751,706.000000,   706
328,86870.570,716.000000,   716
329,87649.015,712.000000,   712
330,88432.100,716.000000,   716
331,89219.839,701.000000,   701
332,90012.246,708.000000,   708
333,90809.335,701.000000,   701
334,91611.119,713.000000,   713
335,92417.613,700.000000,   700
336,93228.829,707.000000,   707
337,94044.782,711.000000,   711
338,94865.486,702.000000,   702
339,95690.954,719.000000,   719
340,96521.200,701.000000,   701
341,97356.238,702.000000,   702
342,98196.082,716.000000,   716
343,99040.746,712.000000,   712
344,99890.243,713.000000,   713
345,100744.587,714.000000,   714
346,101603.793,726.000000,   726
347,102467.873,721.000000,   721
348,103336.842,722.000000,   722
349,104210.713,712.000000,   712
350,105089.500,709.000000,   709
351,105973.217,710.000000,   710
352,106861.878,725.000000,   725
353,107755.497,720.000000,   720
354,108654.087,719.000000,   719
355,109557.663,705.000000,   705
356,110466.237,711.000000,   711
357,111379.824,707.000000,   707
358,112298.438,715.000000,   715
359,113222.092,718.000000,   718
360,114150.800,712.000000,   712
361,115084.576,698.000000,   698
362,116023.434,704.000000,   704
363,116967.388,714.000000,   714
364,117916.451,707.000000,   707
365,118870.638,717.000000,   717
366,119829.961,700.000000,   700
367,120794.435,725.000000,   725
368,121764.074,719.000000,   719
369,122738.891,715.000000,   715
370,123718.900,710.000000,   710
371,124704.115,717.000000,   717
372,125694.550,713.000000,   713
373,126690.219,720.000000,   720
374,127691.135,719.000000,   719
375,128697.313,730.000000,   730
376,129708.765,711.000000,   711
377,130725.506,713.000000,   713
378,131747.550,706.000000,   706
379,132774.910,713.000000,   713
380,133807.600,716.000000,   716
381,134845.634,708.000000,   708
382,135889.026,711.000000,   711
383,136937.790,709.000000,   709
384,137991.939,721.000000,   721
385,139051.487,706.000000,   706
386,140116.449,714.000000,   714
387,141186.837,710.000000,   710
388,142262.666,714.000000,   714
389,143343.949,711.000000,   711
390,144430.700,722.000000,   722
391,145522.933,707.000000,   707
392,146620.662,705.000000,   705
393,147723.901,718.000000,   718
394,148832.663,713.000000,   713
395,149946.962,711.000000,   711
396,151066.813,717.000000,   717
397,152192.228,700.000000,   700
398,153323.222,712.000000,   712
399,154459.808,701.000000,   701
400,155602.000,714.000000,   714
401,156749.812,716.000000,   716
402,157903.258,701.000000,   701
403,159062.352,724.000000,   724
404,160227.107,712.000000,   712
405,161397.538,713.000000,   713
406,162573.657,710.000000,   710
407,163755.479,717.000000,   717
408,164943.018,708.000000,   708
409,166136.287,715.000000,   715
410,167335.300,713.000000,   713
411,168540.071,721.000000,   721
412,169750.614,722.000000,   722
413,170966.943,705.000000,   705
414,172189.071,715.000000,   715
415,173417.013,710.000000,   710
416,174650.781,713.000000,   713
417,175890.390,715.000000,   715
418,177135.854,711.000000,   711
419,178387.186,709.000000,   709
420,179644.400,723.000000,   723
421,180907.510,722.000000,   722
422,182176.530,705.000000,   705
423,183451.474,714.000000,   714
424,184732.355,723.000000,   723
425,186019.188,711.000000,   711
426,187311.985,716.000000,   716
427,188610.761,711.000000,   711
428,189915.530,716.000000,   716
429,191226.305,710.000000,   710
